cell_index,execution_count,table_index,filename,rows,columns,preceding_markdown
5,4,1,cell_005_table_01.csv,13,8,"## 2. Carga del GeoTIFF El archivo debe contener al menos las bandas azul, verde, roja, NIR, SWIR1 y SWIR2. No se utilizará una escena sintética si la carga falla."
7,5,1,cell_007_table_01.csv,4,5,"## 3. Perfil espectral Seleccione el perfil correspondiente. Para archivos EuroSAT de 13 bandas, el orden usual es: `B01, B02, B03, B04, B05, B06, B07, B08, B09, B10, B11, B12, B8A`. Por ello, **B11=11, B12=12 y B8A=13**. La versión anterio"
9,6,1,cell_009_table_01.csv,20,6,"## 4. Autómata celular y múltiples corridas Cada corrida cambia semilla, ignición e intensidad del viento. El objetivo de aprendizaje será únicamente el conjunto de celdas que se encienden en el paso siguiente."
15,9,1,cell_015_table_01.csv,4,10,"## 7. Umbral elegido únicamente con entrenamiento Se evita fijar 0,5 arbitrariamente. Cada modelo selecciona el umbral que maximiza F1 en entrenamiento; luego ese umbral se aplica sin cambios a prueba."
19,11,1,cell_019_table_01.csv,3,7,## 9. Corrección clásica de errores en grillas — experimento separado Se corrompen tres réplicas de las máscaras acumuladas de prueba. La mayoría decodifica el código de repetición y una limpieza local elimina artefactos aislados. Esta tabl
21,12,1,cell_021_table_01.csv,8,8,## 10. Código de superficie real con MWPM Este benchmark es independiente del incendio. Stim genera circuitos de memoria de código de superficie rotado; PyMatching decodifica los síndromes mediante MWPM. Se compara la tasa de error lógico (
24,14,1,cell_024_table_01.csv,3,4,"## 11. Integración real: predicción del incendio → canal ruidoso → código de superficie → MWPM Esta sección conecta las dos ramas del experimento. Las probabilidades producidas por CNN, GNN y Transformer se cuantizan como palabras binarias."
25,15,1,cell_025_table_01.csv,2,10,"## 11. Integración real: predicción del incendio → canal ruidoso → código de superficie → MWPM Esta sección conecta las dos ramas del experimento. Las probabilidades producidas por CNN, GNN y Transformer se cuantizan como palabras binarias."
26,16,1,cell_026_table_01.csv,12,10,"## 11. Integración real: predicción del incendio → canal ruidoso → código de superficie → MWPM Esta sección conecta las dos ramas del experimento. Las probabilidades producidas por CNN, GNN y Transformer se cuantizan como palabras binarias."
27,17,1,cell_027_table_01.csv,6,12,"## 11. Integración real: predicción del incendio → canal ruidoso → código de superficie → MWPM Esta sección conecta las dos ramas del experimento. Las probabilidades producidas por CNN, GNN y Transformer se cuantizan como palabras binarias."
29,19,1,cell_029_table_01.csv,8,6,"## 11. Integración real: predicción del incendio → canal ruidoso → código de superficie → MWPM Esta sección conecta las dos ramas del experimento. Las probabilidades producidas por CNN, GNN y Transformer se cuantizan como palabras binarias."
32,21,1,cell_032_table_01.csv,12,9,"### Interpretación científica de la integración - Existe aporte del código de superficie si, para el mismo `P_FISICO`, la tasa `LER_MWPM` es menor que la tasa de error de bits sin QEC y las métricas protegidas quedan más cerca de la condici"
32,21,2,cell_032_table_02.csv,4,4,"### Interpretación científica de la integración - Existe aporte del código de superficie si, para el mismo `P_FISICO`, la tasa `LER_MWPM` es menor que la tasa de error de bits sin QEC y las métricas protegidas quedan más cerca de la condici"
32,21,3,cell_032_table_03.csv,3,6,"### Interpretación científica de la integración - Existe aporte del código de superficie si, para el mismo `P_FISICO`, la tasa `LER_MWPM` es menor que la tasa de error de bits sin QEC y las métricas protegidas quedan más cerca de la condici"
33,22,1,cell_033_table_01.csv,3,8,"### Interpretación científica de la integración - Existe aporte del código de superficie si, para el mismo `P_FISICO`, la tasa `LER_MWPM` es menor que la tasa de error de bits sin QEC y las métricas protegidas quedan más cerca de la condici"
